GeneID	X2nd.thoracic.ganglia	abdomen	abdominal.integument	antennae	antennal.lobes	antennal.lobes.and.subaesophageal.ganglion	brain	egg	embryo	eviscerated.abdomen.and.fat.body	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.ovaries	fat.body	flight.muscle.and.thoracic.exoskeleton	germline	gut	head	head.and.thorax	hemolymph	hindgut	hypopharyngeal.glands	larvae	larval.gut	larval.head	male.gonad	malpighian.tubules	mandibular.glands	midgut	muscle	mushroom.body	nasonov.gland	oocyte	optic.lobes	ovaries	pupae	pylori	thorax	rectum	royal.jelly	semen	spermetheca	sting.gland	testis	thoracic.muscle	thorax.and.abdomen	unknown	venom.gland	ventriculus	virus.augmented.bee.lysate	whole.adult.body	wing.disc	wings	wings.and.thoracic.dorsum	worker.jelly
CM009931.2	0.00171664117739051	0.00106050179686672	0.00141965731272582	0.0011562196279921	0.00115317262373207	0.000541505216013615	0.0017606535610211	0.00108177430033549	0.00135006410016702	0.00070234319318834	0.000532785791718794	0.000664949811370201	0.000763982828393226	0.001146537385803	0.00143691894545462	0.00124506922877736	0.000914369186270528	0.0011387863218516	0.0015896308803882	0.000774629799123796	0.000574588323163957	0.00113515844596476	0.000786059386030719	0.000345373159137713	0.00362679508286409	0.00429971182993456	0.000961670222202435	0.00285247897920973	0.00183785561901679	0.0016942529412419	0.00145852936786628	0.00351334926281783	0.000536884197560125	0.00203021102508513	0.000583028899629637	0.00186310820712183	0.00158249608260476	0.000867300103853022	0.000292429970358364	0.000187362344978419	0.000279996081592668	0.000970346000420179	0.00280984895295301	0.00164028608685719	0.000842714686648944	0.00131816964007271	0.000611387569669223	0.0141546238042687	1.82965719857455e-05	0.000569959416319837	0.00093598638376575	3.39254190754666e-07	0.000779408517499223	3.08684311290722e-08
CM009932.2	0.00271333578580137	0.000805321049377499	0.00222021270409891	0.00145684484605069	0.00177891104826765	0.000955708750606528	0.00238957669126621	0.00103621191651125	0.00121039663412227	0.000878358166402722	0.000668391308973503	0.000791612825469915	0.000809151697298167	0.000886919418550729	0.00137305835181761	0.000801692308426482	0.00120260370216844	0.00129647305442737	0.00133436913016116	0.000824899568688368	0.000405262769020517	0.00088840723103648	0.000507361879209871	0.000322730596133622	0.00395409492486715	0.00383426417914455	0.00123545770274014	0.00203635963597944	0.00110178604160488	0.00239082468177903	0.00152421531348373	0.00214143257221858	0.000760590939620004	0.00156325538978403	0.000545510955536017	0.00139830842118836	0.00105915431032909	0.000901493698737641	0.000254917293212705	0.000187167263436251	0.000213680843949362	0.000789161695750248	0.00246493796196592	0.0010947467035388	0.000637356945707609	0.00141396649963165	0.000879430912102465	0.00800665249994991	9.2306261983946e-06	0.000497152506734828	0.000754807785113121	3.05580578158053e-07	0.000765507956875627	1.41882001554845e-08
QIUM02000220.1	0	9.61014229751626e-08	0	1.21563616963578e-06	0	0	2.07873903344209e-06	0	7.4611890336848e-07	0	0	1.43855254807794e-06	8.47155510801965e-08	0	8.33510179828465e-05	2.98447929346622e-08	1.12492542579467e-06	0	0	1.98868343519509e-05	1.03706111560964e-06	8.47512495697534e-07	0	0	0	0	2.03707938383001e-07	3.43540304763268e-07	0	4.7493935869481e-06	0	0	2.0744498472201e-07	0.00266279334222223	1.05324039696235e-06	0	1.40343947793448e-07	0	0	8.69374741411912e-05	2.19149897563707e-05	0	0	0	4.8280629808039e-07	1.14689047293737e-07	0	0	0	4.99573613606352e-06	3.26191423236807e-07	0	1.94149330363201e-07	0
CM009933.2	0.00209706332633491	0.000595107501026635	0.00122105307078516	0.00109202614569096	0.00135428228546296	0.000633820906519215	0.00192346620885832	0.00130609210662946	0.00131804508454914	0.000562381084998326	0.000442567793207109	0.000586048656239026	0.000633139152162649	0.000586486024441706	0.00138555564502444	0.000600588558801644	0.000891912729333116	0.000897617381488873	0.00159231850764518	0.00072541956921161	0.000392397032064192	0.00098190714983196	0.000283851884213723	0.000386635534596194	0.00267927346362005	0.0041684290370951	0.000930856833009529	0.00106719324399794	0.00142239515069191	0.0019125416141756	0.00115365563894078	0.00222866965197532	0.000598807737160917	0.00152924466428192	0.000842527757134485	0.00158593371091915	0.00101173348086047	0.000803148260011274	0.000201304206288377	0.000252618910665281	0.000297091388189715	0.000673644728192904	0.00244256248472933	0.00125120282926796	0.000500437935616977	0.00125617789860035	0.000616934148334169	0.00402315919908694	7.50790016994402e-06	0.000409315662431666	0.000932376550312983	2.20173759363059e-07	0.00103795151209543	2.77814245750349e-08
CM009934.2	0.00190050337826301	0.00147213234021322	0.00389741006244135	0.00155340045283167	0.00131334687798499	0.000587965586196361	0.00234903126460748	0.00108982634044234	0.00153183951407895	0.00177573681814396	0.00146673797243667	0.00156109977911691	0.00137937562912133	0.000958610755084458	0.00136912269731677	0.00104735728300054	0.00137748781366582	0.002850464418302	0.00170446286385052	0.0016432852792888	0.000394216263418598	0.00114835028211497	0.000639881672904477	0.000381185159949093	0.00330391145600649	0.00467164175213597	0.00127454255996203	0.00194538506990435	0.00129558533456264	0.00210540382427203	0.00235596716928641	0.0049372581356485	0.000546484813103185	0.00198155571277984	0.000836823572152931	0.00203606003122893	0.00132858400024784	0.0010991555966699	0.000401479054935183	0.000167251143624056	0.000339125702531785	0.00290016572158872	0.00295544681567473	0.00108514584748019	0.00191801797237681	0.00207780692295309	0.0115297254661479	0.00830409118346622	1.65759037451006e-05	0.000783535411504647	0.00112589716839416	5.51725741205362e-07	0.00205039374822173	5.7673283852172e-08
CM009935.2	0.00215828343254951	0.00116116535118547	0.00238371934239287	0.00218543154007788	0.00157652296610381	0.000806029165253214	0.00306193216169188	0.00206338983427792	0.00235101415144315	0.00116391129751795	0.000778680027546793	0.00102945658388186	0.00173813379587534	0.00105737119232313	0.00400520632476922	0.00110265021235084	0.00163193048782881	0.00240734518447974	0.00217637276371509	0.00206891589868803	0.00179668997232829	0.00153628860341403	0.00103905201626895	0.000509563189092433	0.00692876623865085	0.00470722277091335	0.00213019318952256	0.00178574057259051	0.0014221002829238	0.00284604538154435	0.00179514940156064	0.00454021421550453	0.000796387866305274	0.0103221638559607	0.000800577199709545	0.00671327951309652	0.0014940234827115	0.00113471673624387	0.000345574181104585	0.000397403232360765	0.000303969327960909	0.0010799198102948	0.00349311769544242	0.00139246117452158	0.00263326950780346	0.00154654863015684	0.000896031063716776	0.00700858691274826	1.00244167410297e-05	0.000874220908869472	0.00133811917904432	2.01435688705205e-06	0.001236562282708	1.58807635264297e-08
QIUM02000120.1	0	4.3108442428066e-06	6.84292441522242e-08	1.10095070381037e-06	7.90371863508887e-07	3.93772697094896e-07	3.93222447125927e-07	3.6851874031053e-06	5.13969272430928e-07	3.07812444376292e-07	2.36530234389625e-07	3.58556731439118e-07	5.03236290022696e-07	0	1.30789179939822e-05	5.46125594767499e-06	1.14491311421266e-05	0	0	6.51346771513564e-06	1.0687205088025e-07	4.09615153671378e-06	0	0	0	6.26878371010645e-06	0	9.55488835951774e-05	0	2.20145569822878e-07	0	0	8.10417853079014e-08	4.45401186921317e-05	1.71824039454053e-07	4.09318508160958e-08	6.40482374584525e-08	7.71484458749431e-08	4.76581053612279e-07	4.06141119564269e-05	3.74755211114182e-05	0	8.25313866094646e-07	0	4.61468644746174e-07	0.000106919422761782	0	1.18221461866466e-05	0	4.88961013891315e-06	0	0	0	0
CM009936.2	0.00113311681637444	0.000577984334570229	0.00127138200552394	0.000781170309099066	0.000797642179280293	0.000337595062457235	0.00144044885789816	0.000777249220290403	0.00101762995451787	0.000485200489761894	0.000352620971829769	0.000470010649420326	0.00052922709487008	0.000557407229169366	0.00108159952012059	0.000703543522629166	0.00155778357539655	0.00101446069747809	0.00107209978275555	0.000577011568431821	0.00306966025059209	0.000820569197056658	0.00039270395990028	0.000284714077178405	0.00300297376919401	0.0044062924021388	0.00145398184427972	0.00138041679648789	0.00113466463215511	0.00122546434659011	0.00104670194300168	0.00919176757242807	0.000325159681120843	0.00165309017827724	0.000415909971632338	0.00130927630828821	0.000774556508805193	0.00058903687438499	0.000233889613069977	0.000125327589622598	0.000158217133011497	0.000577436595157353	0.00187135715030858	0.00094850069756163	0.000545304839457105	0.000938835992169021	0.000446174521952388	0.00688686398631036	9.78981202557804e-06	0.000416813684760275	0.000850296262323	2.03521065740892e-07	0.00072856688620368	1.74091519297445e-08
QIUM02000122.1	0	5.59426722361226e-08	0	2.59785124757178e-07	0	7.97662269902406e-08	1.05210841167515e-07	0	9.4027480193909e-09	3.49503738841974e-08	0	0	1.3317850808173e-07	3.45006179475906e-07	1.12414684584704e-06	1.36504195934574e-07	3.57436218108978e-06	1.59955131060887e-07	0	8.63382480326541e-05	2.68244258111433e-08	4.49208124483288e-05	0	0	0	8.82000813773196e-07	0	9.31980720066805e-08	0	7.13347988726113e-08	0	0	0	5.12942291358782e-06	7.79694504021501e-06	4.12415185346965e-08	7.09169683300283e-08	0	0	4.15021768702729e-05	2.99335993399268e-05	0	2.07508577402654e-07	1.88869960477074e-06	1.73431347355009e-07	0.00020156360515753	0	1.3493403426467e-06	0	1.18099313200922e-05	5.18063405935037e-08	0	1.60578433981439e-08	0
CM009937.2	0.00185004541515339	0.000807513474847136	0.00100498861588606	0.00101420142493576	0.00138937810000251	0.000581842257050423	0.00175034639606958	0.000663446182450973	0.00101440155872612	0.000772887433688134	0.000560171935848857	0.000628216398528899	0.000647871527051492	0.00121898196171232	0.00117085681964308	0.000877480539448547	0.000932574511821313	0.00142651910181062	0.00140197936589089	0.000686375922683947	0.000324688445750974	0.00089212416027584	0.000493998920561865	0.000357255664515729	0.00327817165861739	0.00358490967602824	0.00119690203754289	0.00179856911246356	0.00183343930193436	0.0017787345110867	0.00105689155271391	0.00281016589688271	0.000547446329256597	0.00127951108598424	0.000433231611578498	0.00187929059667221	0.000958502782519287	0.000841645614645527	0.000205370339103967	0.00015253556067688	0.000225669179914761	0.000823186148539024	0.00252544961390547	0.00130639038286112	0.000690595897660609	0.001113207025326	0.000441834090483866	0.00826146276454536	9.70536575150834e-06	0.000447012092219733	0.000775412835200192	1.89823054939863e-07	0.000659224137667514	9.19484320466329e-08
QIUM02000108.1	0	4.11945905835387e-09	0	2.17494734572054e-07	0	0	7.38634701736472e-08	0	1.53122005616804e-08	1.13735670163714e-07	0	0	1.11461155851063e-08	0	0	2.6689382100947e-08	4.01402989745602e-06	0	0	2.10934133773549e-06	6.64234121905175e-08	2.14941258897755e-06	0	0	0	0	0	1.5064578485327e-08	0	2.04663282287071e-08	0	0	1.34424453483126e-08	6.72072334405433e-06	7.11423253065983e-08	0	4.43015676364984e-08	0	0	5.92664177615815e-06	1.24529752210477e-06	0	0	0	0	1.03366744455191e-08	0	0	0	5.75497929775522e-07	4.26392574048235e-08	0	0	0
QIUM02000128.1	5.65408428433028e-07	8.93030118741063e-08	2.2265099719427e-07	4.84042938090044e-07	4.77019884902935e-08	1.21514090927881e-07	5.25828064073865e-07	0	6.34866853552833e-07	0	1.02937199657833e-07	1.11479306399653e-07	2.3115591614823e-07	1.12751234522022e-07	2.06840365127179e-06	8.00072376429208e-08	4.20503264975863e-06	5.57233072965766e-08	2.80180246091945e-07	1.6176960838494e-06	5.86418483803496e-08	1.20984531431562e-05	0	8.34166436643101e-08	2.67906807369536e-07	8.3767888266784e-07	7.10390081140027e-08	7.86309618935994e-08	2.2306207024007e-07	5.66555623675065e-07	1.12239324323223e-07	0	2.51392224869401e-07	1.67257940406493e-05	1.99140007323741e-07	4.44456143019646e-08	1.66851799911818e-07	6.71468837848074e-07	0	1.05549875352259e-05	8.46019470299357e-06	0	8.96317238620937e-07	9.00673103080828e-08	5.89037918130107e-07	7.92521018546236e-05	0	2.23133154341367e-06	0	2.09209228507382e-06	0	0	1.17098081653205e-07	0
QIUM02000172.1	2.54810088922172e-06	2.85348553717434e-08	0	1.27938811941193e-06	3.62323666180218e-06	2.34217211117752e-06	2.47767727303912e-05	0	3.50935356531676e-07	7.2347896029114e-07	0	0	5.98001102159456e-08	0	5.89517158067376e-07	3.51697388377354e-08	5.67315813912163e-06	0	0	3.35050589947813e-06	6.96450824843229e-06	1.06168323139641e-06	0	1.47420279768069e-07	2.34790823902526e-06	8.86062514433089e-07	1.50094032012285e-06	5.24721574394384e-08	0	4.01139888454383e-05	0	0	1.63279063947557e-06	4.5791981983864e-06	3.68497076812611e-07	7.84438439835469e-08	1.03162507125097e-07	0	0	1.55784396038182e-05	1.77069500214568e-05	0	0	0	2.93357272445442e-07	6.52510844827807e-05	0	9.8489996233651e-07	0	1.58758513190577e-06	3.91773841754098e-07	0	1.17842545491667e-07	0
CM009938.2	0.00195557602017406	0.00125645095734111	0.00247528368189674	0.00146334535798307	0.00142541601026484	0.000644255134176101	0.00212233352235851	0.00139935813768647	0.00182397832641644	0.00124009415318522	0.00101788447235405	0.00114038598364678	0.00111702451980596	0.00130842843871954	0.00175112804180809	0.00148449707017723	0.00124228159331345	0.00282721453011916	0.00260638669182156	0.000951372811839797	0.000518121852104057	0.00320548798446609	0.00362553317159939	0.00070241062807453	0.00641766775527225	0.0059402279001096	0.00199762533816823	0.00280212306979856	0.00168238138053958	0.00182594562215138	0.00281306768606971	0.00864168486124658	0.000587401718322888	0.00226038082777379	0.000866612447426795	0.00201024289198082	0.00155768804212567	0.000991633185571116	0.000368903141058923	0.000227425237582434	0.000337370859340599	0.0011287572667458	0.00425469752098265	0.00152670698500337	0.000987217040310977	0.00168981730509814	0.000706023319245524	0.0123550529078427	7.62661737178319e-06	0.000987710855749786	0.00161020740552424	2.19825720922591e-07	0.0015535188671399	6.92149554652358e-08
QIUM02000090.1	0.00137206407886441	0.000384119418288635	0.000564280279427631	0.000810006711335627	0.00103378318598566	0.00148526302355045	0.00142080168721015	0.000814473707203298	0.00143963213754078	0.000237130159753047	0.00017784057354306	0.000228600817524103	0.000767942731182933	0.000122051748711748	0.000687644135156987	0.00164433764358239	0.00276021243494851	0.00040796743805237	0.00117894939593295	0.000376350019492038	0.00026219797607902	0.000573556844379582	9.72953441800426e-05	0.000227008873267924	0.00120360096129649	0.00288497915548895	0.000524769568205675	0.000824512554915611	0.000466702800131921	0.00124452913843446	0.000899625721460052	0.000161757768885446	0.00158283752349899	0.000789244032508288	0.000403784067837822	0.000883321875356528	0.000339645551795982	0.000535269248710297	7.49039283257077e-05	0.000125131313460649	0.000165659564196347	0.000480901160593494	0.00161293753941973	0.000312125083451718	0.000410315553161351	0.000792645337851091	0.000346849496372119	0.00290250602136637	2.55424875819301e-06	0.000200932032418688	0.000395614949730407	0	0.000321388522680292	0
QIUM02000150.1	2.3439272898458e-06	7.96355849914425e-07	9.62149111537523e-08	7.54784078957323e-07	2.0360633353144e-06	8.23064449716338e-07	3.2979158479043e-06	1.06610898447863e-05	5.03294843851181e-06	8.69522183415334e-07	1.18109934233102e-06	4.97217283593416e-06	6.32279304402114e-07	1.01993164209263e-06	2.59086235350717e-05	5.84042673464526e-07	1.02129454460246e-05	8.9060803037378e-07	1.5910230188184e-06	2.75906872945339e-06	4.56768984128572e-07	1.68508881899444e-05	0	7.98488095002124e-07	2.61413791794215e-06	3.58777097639902e-06	1.15150604290557e-06	8.14761186419436e-07	3.22848949757776e-06	2.4855075164072e-06	1.44063510857183e-07	7.88688938124937e-06	4.28680765227998e-07	4.63518384406171e-05	2.0346306636144e-06	1.15005804152925e-07	1.80040763500526e-06	3.24229829399376e-07	6.57235169335426e-07	1.56967894423185e-05	1.19556683831876e-05	0	3.32868418165166e-06	3.45396141906708e-06	1.07988020774955e-07	9.0362054900456e-05	3.46528147169482e-07	3.26848126243473e-06	0	2.7848386905583e-06	1.43656025826281e-07	0	4.6792116472624e-07	0
