GeneID	abdomen	whole.larva	brain	whole.body.larvae	midgut	eviscerated.abdomen.and.fat.body	flight.muscle.and.thoracic.exoskeleton	whole.body	fat.body	venom.gland	antennae	hypopharyngeal.glands	testicles	ovaries	mandibular.glands	malpighian.tubules	muscle	nasonov.gland	sting.gland	second.thoracic.ganglia	intestine	whole.embryos	gut	thorax	head	gonadal	virus.augmented.bee.lysate	antennal.lobes	mushroom.body	wings.and.thoracic.dorsum	wing.disc	venom.system	hindgut	testis	whole.larvae	embryo	embryos	oocyte	antennal.lobes.and.subaesophageal.ganglion	optic.lobes	eviscerated.abdomen.with.attached.fat.bodies	not.applicable	thoracic.muscle	eviscerated.abdomen.with.attached.fat.bodies.and.inactive.ovaries	eviscerated.abdomen.with.attached.fat.bodies.and.active.ovaries	head.and.thorax	unknown	pylori	thorax.and.abdomen	larval.gut	queen.germline	drone.germline	drone.thorax	worker.embryo	drone.embryo	whole.pupae	larval.head	hemolymph	abdominal.integument	rectum	spermetheca_virgin	semen	spermethecia_mated	egg
CM009931.2	0.00150404253429358	0.00170404781238653	0.00215150662053487	0.00124031835526712	0.00386355163529082	0.000876473270582822	0.0014934223577471	0.000738592558143231	0.000764329872022002	0.000759120549993556	0.00186227729797365	0.00080599123496097	0.0083894197802908	0.00264398244921969	0.00147442498575951	0.00264095290071331	0.00239367639644542	0.00189984128826697	0.00126397222143997	0.00223600142913344	0.000898253880274877	0.00432853074806033	0.00170548482561656	0.00209078823704841	0.00121141200329535	0.00472280776025915	2.383633997836e-05	0.00150214929248165	0.00229348728034265	0.00101530109105463	0.0012192131296114	0.000945725286117244	0.000977001268758005	0.0012932484427157	0.00176004527335567	0.00217581840518329	0.00315313124787442	0.00457543844807804	0.00070541840157331	0.000699399309602753	0.000991725703359918	0.00217109947496066	0.00213652718329097	0.000694056927047861	0.000866218527288636	0.00148296980462496	0.00622337991205571	0.00242674165538329	0.00103969695175551	0.00102397740706543	0.00313458613860691	0.00060857354216162	0.000340372198483942	0.000642526665468071	0.000556998471230422	0.000996596598114164	0.000449929098891898	0.00207059277600857	0.001849204196765	0.00112979680002957	0.000386225954520987	0.000244086587520897	0.000343298542622483	0.00140914942979066
CM009932.2	0.00115407239337438	0.00135252546536063	0.00284705826593215	0.000913764430799644	0.0028754645469828	0.00115076881127621	0.00115522935353505	0.000642977443867612	0.000772932770233915	0.0011344354010035	0.00231315095764905	0.00056847960371303	0.00677125653268686	0.00203598124011578	0.00174169237184572	0.00229616106896832	0.00143519184625482	0.00198539150123231	0.00102799587344715	0.00353386486298329	0.000682137200718615	0.00388485052117989	0.00108621689012039	0.00137477320605046	0.00159278530038386	0.00514881944298459	1.20254625963603e-05	0.00231709765255405	0.00328806331964884	0.000997179665147946	0.000983238397907273	0.00119023350515939	0.00108549912373753	0.00142927193443222	0.00122800592507097	0.00192922186381139	0.00266825862456923	0.00278919068565807	0.00124494089495558	0.000990795818844495	0.00113088996310137	0.00157455443704226	0.00142604752982441	0.000870696120246788	0.00103120669503148	0.00168818853510978	0.00646368543943356	0.00182141812278143	0.000767207097022597	0.000660943249603224	0.00295810237156747	0.000618750161962412	0.000367353964305917	0.000609769669507419	0.000508681006959844	0.000886730928223761	0.0004204329460685	0.00173814551164808	0.00289173675794724	0.00117433549526434	0.00025518023586544	0.00024383190706774	0.00030156510667988	0.00134980548396479
QIUM02000220.1	1.66932040054255e-07	1.31439455196125e-06	1.52778567715579e-06	3.36263813927512e-07	0	0	0	6.98511694417677e-06	9.77232069130108e-08	0	1.22257507999113e-06	1.45498234096173e-06	0	0.00346555981258462	2.29197578213739e-07	0	0	0	0	0	0	0	4.33798565696667e-08	1.8936713625388e-07	1.49233524010287e-06	0	0	0	8.02846018518597e-06	2.52933903863199e-07	4.2495572691599e-07	0	4.04813057566742e-05	0	0	2.02946755095794e-09	1.14701693518116e-05	0	0	2.70255217449225e-07	0	0	0	0	1.87411723043974e-06	0	5.64124025119277e-06	0	7.18846271968974e-07	0	0.000217172401774154	0	0	1.42991060642108e-06	2.74693234966188e-07	1.75406657409318e-07	0	0	0	0	0	0.000113258190069292	5.71004292793402e-05	0
CM009933.2	0.000861501490306682	0.00151777520509537	0.00234380634238882	0.00101108181218033	0.00131660310510528	0.00066114043044186	0.000763969208496427	0.000527945977963115	0.000630275118311544	0.000761406869399023	0.00175632736899155	0.000550462003071665	0.00746937880182197	0.00199163116388888	0.00134923462226112	0.00251862371108861	0.00185274052005895	0.00150277117780899	0.000877532243047955	0.00273140842635576	0.000575933694378393	0.00451697692504459	0.000806256674955016	0.00132543524701553	0.00118135699741254	0.00348932821651706	9.78113473718755e-06	0.00176408211667031	0.00257921491579634	0.00135203600281921	0.00121450482840572	0.000972710523326713	0.00086881957934574	0.00103616387592641	0.00145349924506185	0.00214538417924475	0.00351777969486122	0.00290278941767626	0.000825668722121703	0.000780061324118992	0.000875503678705731	0.00114636810900142	0.00162982094509057	0.000576536660764249	0.000763442616043143	0.00116897347089664	0.00721652341927631	0.0020657747885422	0.000609884685786365	0.000369784359577041	0.00310004122610445	0.00050931449283779	0.000323122635406528	0.000523638869366933	0.000361137277428335	0.00170527651969025	0.00050368077013549	0.00207409268877992	0.00159054907534989	0.00104623555315435	0.000390252146709205	0.000329097836117785	0.000383812821049957	0.00170131134714743
CM009934.2	0.00212869146309645	0.00176261222848686	0.00302326188288495	0.00121810655680224	0.00258852758930635	0.0020032952310195	0.00124863364148069	0.000994157638871147	0.00165450790689595	0.0138468663980929	0.002429047296896	0.000553017493711918	0.00826355092518444	0.00258049858158003	0.00174093422466403	0.00291941467565291	0.00168759166340933	0.00306845439995956	0.00377690122682809	0.00247544207697029	0.000881407097632685	0.00543346103181075	0.0014201615518419	0.00165965999115969	0.00182406292703802	0.00430253824426133	2.1594701262802e-05	0.00171076708260431	0.00288972757764114	0.0026702364793915	0.00146656211684738	0.0196102653479404	0.000942197971916158	0.00164070779512648	0.00166360429577271	0.00232927459027183	0.00457294559547844	0.0064288383920866	0.000765937468739036	0.000711904652117894	0.00293100313128274	0.00180853008665638	0.00141354196001329	0.00191046485767777	0.0020333941379464	0.00371058260541629	0.00775566643054901	0.00265196765696052	0.00245179060915891	0.000833568651637712	0.00299867914552045	0.000567904199577816	0.000341262028604367	0.000533729047059283	0.0004365925186654	0.00133319208954528	0.000496580754423618	0.00222014198526772	0.00507526507863463	0.0014317650380599	0.000496581120556626	0.000217887236410992	0.000386996998971313	0.00141963542857114
CM009935.2	0.0017294532139768	0.00233318979949035	0.00414724565037508	0.00171133208397428	0.00236941671940246	0.00129952038711531	0.0013772518552993	0.00114840690661181	0.00216966720612927	0.00110971901557374	0.00242911078626405	0.0025195523653802	0.0106832430855257	0.0134229199066287	0.00275776180653609	0.0028954197066577	0.00185235297189645	0.00233822362292891	0.00140670095674139	0.00281112888117736	0.001246600633294	0.00698728771653514	0.00145824845091439	0.00183415804674536	0.00216228400502911	0.0090191169448637	1.30595975471473e-05	0.00205352387791682	0.00400483937253469	0.00161072605461192	0.00174294447978189	0.0013971433103412	0.00286212437685024	0.00147976043310887	0.0022007818584864	0.00335272253620191	0.00940125648381723	0.00591209029840502	0.00104998167930004	0.00103742423564776	0.00194900177090761	0.00177851453973588	0.00181379775371553	0.00101435076912174	0.00134100032276913	0.00313338733490533	0.00657056054231691	0.00873962128530317	0.00325149688104922	0.00135350646903921	0.00744504119533514	0.00298559182073483	0.00105790366643331	0.00125115569247843	0.000936447493939246	0.00140390251622902	0.000663813443273985	0.00283468424336644	0.00310462673037418	0.00147810374565024	0.000425489540049213	0.000517706050495125	0.000366495430767818	0.00268754261087419
QIUM02000120.1	7.27903549477871e-06	2.35742268051718e-06	2.32137106796854e-07	2.1592611692778e-07	2.49476523908866e-05	4.6789518982305e-07	0	6.78603390210215e-06	2.92363504344599e-07	0	1.01243659170475e-06	1.49940892846082e-07	0	5.80246755319633e-05	3.64087877808296e-08	6.67834579422531e-07	0	0	0	0	2.90847887884689e-07	8.67200891219688e-07	7.90434848590164e-06	1.48200885897693e-08	1.51883818015989e-05	0	0	1.02968016544588e-06	3.63764006044784e-07	0	0	0	1.3258753539632e-05	1.61280424338166e-06	0	8.51934042299886e-07	5.33350867668944e-07	0	5.12998945287542e-07	1.05579666903269e-07	2.67245735542992e-07	6.30387135152882e-07	0	3.0814700430412e-07	4.67120771296612e-07	0	0.0147258005838192	5.33252231872422e-08	6.87076992733975e-07	0	3.40778312021603e-05	0	8.00963051767062e-07	6.68260567652994e-07	3.99798613652531e-07	1.5026332735871e-07	0	0	8.91482950804668e-08	1.00507502334609e-07	2.6960066716171e-06	5.29109686844308e-05	9.49476682862711e-05	4.80098557654083e-06
CM009936.2	0.000807229571829753	0.00124934020226474	0.00180501362044055	0.000887100275568598	0.00177093135433356	0.000593011619234243	0.000726101588200249	0.000536751766939131	0.000556154386569743	0.000554984845361229	0.00124972437790076	0.00430343480729148	0.00578510032676149	0.00215306054233674	0.00204167995687929	0.00285112601358235	0.00147800583067679	0.00136346627374313	0.000752217442545894	0.00147602612979781	0.00056826915610255	0.00366845715153204	0.000956758251844599	0.00101222823130596	0.00206463915742453	0.00391078776291599	1.27539558190274e-05	0.00103906586130034	0.0017065743777867	0.000949079600503168	0.00110760723081247	0.000686231916270614	0.000726828820523274	0.000763007870509741	0.00124502936966091	0.00160862983195601	0.00254443346449528	0.0119633466531142	0.000439795418311755	0.000423596123230806	0.000710164435059657	0.00132224303424221	0.00123556380997136	0.000459367163910819	0.000612288487276703	0.00132108735259954	0.00746104311757765	0.00170546233693466	0.000667853837655423	0.000511584700002637	0.00240036477901537	0.000417331267128267	0.000234388628862851	0.000381609240105979	0.000252254850777456	0.00073291466118415	0.000370908807470325	0.00139655288908818	0.00165608526365619	0.000767336906908701	0.000202171649036762	0.000163271893138019	0.000210065866156007	0.00101250009775001
QIUM02000122.1	7.06514864806679e-08	1.42171172644217e-07	9.8387640925411e-08	8.37519883152978e-08	1.77073988689271e-07	0	4.49467303436509e-07	1.65725577081949e-05	2.22277940401685e-07	0	3.08648055486949e-07	3.76345230478137e-08	8.11014476894809e-07	6.68249948827608e-06	0	0	0	0	0	0	5.90480243606816e-08	0	1.91578942463205e-07	7.91095651518467e-08	4.74176413756556e-06	0	0	0	1.2099879354346e-07	2.09198475764684e-08	6.74922979544271e-08	0	0.000175738894997148	0	0	0	0	0	1.03917888779434e-07	0	1.36598012075113e-07	1.02669276562281e-07	2.4605591151295e-06	0	0	2.08386420906246e-07	0.0277691203613424	5.37286522670033e-08	1.25403245280724e-07	0	2.92903301268089e-06	0	0	4.55961731046232e-08	0	1.07083717788902e-05	0	0	0	0	0	5.40677240890688e-05	7.79927671388672e-05	0
CM009937.2	0.00116517226839703	0.00134350748387038	0.00212823340297851	0.00101878728244636	0.00214480685819853	0.000966780399308028	0.00158760777445085	0.000581631008318584	0.000649624975146498	0.000538657564157819	0.00162993008725171	0.00045548446021226	0.00763324521660082	0.00166641825590641	0.00154698267624011	0.00205946517077858	0.00238797473033559	0.0013767394659036	0.0010723085533945	0.00240973313439986	0.000829978705155667	0.00350705708078498	0.00117924616014899	0.00125020006365725	0.00123532946502971	0.00426902557105457	1.26439410689853e-05	0.00180979115256105	0.00241901670265873	0.000858756503578752	0.00101007832743535	0.000723281847577295	0.000867195939544768	0.00111609285058165	0.0015305006270198	0.00177586377400134	0.00234593835428024	0.00365995152100538	0.000757961067296617	0.000713157317695207	0.00108673601832444	0.00153082415712774	0.00170169640207036	0.000729731714562475	0.000818370356134435	0.0018574639643596	0.0087195859717302	0.00244781467628374	0.000825248601650711	0.000643536881608326	0.0025217605628069	0.000528444292469771	0.000385066005298544	0.000363619707224493	0.000246627875145159	0.000769243562731034	0.00046540828183778	0.00182620047355796	0.00130913562895447	0.00109638140642239	0.000333905726004891	0.000198716580325718	0.00025407458021444	0.000864261708802355
